Year,Site,Growth
45,EnergyLimited,0.635708289
45,WaterLimited,1.02222186
46,EnergyLimited,0.754658055
46,WaterLimited,0.783976788
47,EnergyLimited,0.78856742
47,WaterLimited,1.043109031
48,EnergyLimited,1.002605407
48,WaterLimited,1.028960064
49,EnergyLimited,0.898422254
49,WaterLimited,1.159158983
50,EnergyLimited,1.125399139
50,WaterLimited,1.255654837
51,EnergyLimited,0.851448846
51,WaterLimited,1.264726079
52,EnergyLimited,1.089295421
52,WaterLimited,1.201950705
53,EnergyLimited,0.739125093
53,WaterLimited,0.654335875
54,EnergyLimited,1.116251616
54,WaterLimited,1.076863385
55,EnergyLimited,1.059593525
55,WaterLimited,1.05618669
56,EnergyLimited,0.848343877
56,WaterLimited,0.55488617
57,EnergyLimited,0.987413702
57,WaterLimited,1.087213993
58,EnergyLimited,0.70149035
58,WaterLimited,1.100030113
59,EnergyLimited,0.922196733
59,WaterLimited,1.0337023
60,EnergyLimited,0.902842343
60,WaterLimited,1.024405735
61,EnergyLimited,0.948886868
61,WaterLimited,1.135203539
62,EnergyLimited,0.898103779
62,WaterLimited,1.024002514
63,EnergyLimited,1.115837734
63,WaterLimited,0.7700952
64,EnergyLimited,1.055745929
64,WaterLimited,0.864541747
65,EnergyLimited,0.678797966
65,WaterLimited,0.52005001
66,EnergyLimited,1.069400396
66,WaterLimited,1.102288422
67,EnergyLimited,0.984421267
67,WaterLimited,0.454598224
68,EnergyLimited,1.330066832
68,WaterLimited,1.134463335
69,EnergyLimited,1.055364115
69,WaterLimited,0.73794519
70,EnergyLimited,1.144459081
70,WaterLimited,0.931345197
71,EnergyLimited,1.047426701
71,WaterLimited,0.472829547
72,EnergyLimited,1.272537409
72,WaterLimited,1.154293376
73,EnergyLimited,0.986850062
73,WaterLimited,0.957600843
74,EnergyLimited,1.069641667
74,WaterLimited,1.123891067
75,EnergyLimited,1.322163719
75,WaterLimited,0.826542028
76,EnergyLimited,1.38433544
76,WaterLimited,1.143058329
77,EnergyLimited,1.448319372
77,WaterLimited,1.139019062
78,EnergyLimited,1.391166517
78,WaterLimited,1.131856573
79,EnergyLimited,1.304596296
79,WaterLimited,1.159582018
80,EnergyLimited,1.414888258
80,WaterLimited,1.213628657
81,EnergyLimited,1.225574698
81,WaterLimited,1.291310216
82,EnergyLimited,1.286022294
82,WaterLimited,0.958528378
83,EnergyLimited,0.841833329
83,WaterLimited,0.521143147
84,EnergyLimited,1.084983641
84,WaterLimited,0.954664644
85,EnergyLimited,0.671851777
85,WaterLimited,0.717507251
86,EnergyLimited,0.90155758
86,WaterLimited,0.727295045
87,EnergyLimited,0.81827238
87,WaterLimited,0.426773408
88,EnergyLimited,1.211065813
88,WaterLimited,1.108646611
89,EnergyLimited,1.239681402
89,WaterLimited,1.357046687
90,EnergyLimited,1.226990564
90,WaterLimited,1.1965542
91,EnergyLimited,1.224786795
91,WaterLimited,1.187677836
92,EnergyLimited,1.06375659
92,WaterLimited,1.21031877
93,EnergyLimited,1.101502444
93,WaterLimited,0.997467189
94,EnergyLimited,1.096498077
94,WaterLimited,0.91908301
95,EnergyLimited,1.039793219
95,WaterLimited,0.905889599
96,EnergyLimited,1.33647142
96,WaterLimited,1.314742265
97,EnergyLimited,0.913857839
97,WaterLimited,1.082017073
98,EnergyLimited,0.884704517
98,WaterLimited,0.926800977
99,EnergyLimited,0.74258986
99,WaterLimited,0.989201362
100,EnergyLimited,0.430011711
100,WaterLimited,0.381920764
101,EnergyLimited,0.560895087
101,WaterLimited,0.677991377
102,EnergyLimited,0.540207054
102,WaterLimited,1.086746657
103,EnergyLimited,1.028646492
103,WaterLimited,0.970288472
104,EnergyLimited,1.038092121
104,WaterLimited,1.05654307
105,EnergyLimited,0.966931735
105,WaterLimited,1.065860097
106,EnergyLimited,0.503556413
106,WaterLimited,0.904543948
107,EnergyLimited,0.746524067
107,WaterLimited,0.885599544
108,EnergyLimited,0.947393359
108,WaterLimited,0.912507274
109,EnergyLimited,0.817131118
109,WaterLimited,0.074189242
110,EnergyLimited,0.975285141
110,WaterLimited,1.198420992
111,EnergyLimited,0.946123298
111,WaterLimited,1.120192607
112,EnergyLimited,0.838156355
112,WaterLimited,0.883570548
113,EnergyLimited,0.989882941
113,WaterLimited,1.060257628
114,EnergyLimited,0.969349835
114,WaterLimited,1.086877597
115,EnergyLimited,1.210482993
115,WaterLimited,1.091949974
116,EnergyLimited,0.970537641
116,WaterLimited,1.076670189
117,EnergyLimited,0.684729893
117,WaterLimited,0.936994695
118,EnergyLimited,0.699848417
118,WaterLimited,0.619469472
119,EnergyLimited,0.826133252
119,WaterLimited,0.968077156
120,EnergyLimited,0.858370256
120,WaterLimited,1.057561014
121,EnergyLimited,1.103433662
121,WaterLimited,1.128206129
122,EnergyLimited,0.895646172
122,WaterLimited,0.966944424
123,EnergyLimited,0.864139162
123,WaterLimited,0.6754585
124,EnergyLimited,1.012556798
124,WaterLimited,1.21206993
125,EnergyLimited,1.03833248
125,WaterLimited,1.123936407
126,EnergyLimited,0.969283167
126,WaterLimited,1.007397054
127,EnergyLimited,0.950748582
127,WaterLimited,0.941532197
128,EnergyLimited,0.986806244
128,WaterLimited,1.145132908
129,EnergyLimited,0.814671855
129,WaterLimited,1.141377328
130,EnergyLimited,0.85947345
130,WaterLimited,1.089559353
131,EnergyLimited,0.891773074
131,WaterLimited,0.708679401
132,EnergyLimited,1.050890773
132,WaterLimited,1.07186181
133,EnergyLimited,0.686627763
133,WaterLimited,0.897460904
134,EnergyLimited,0.854142181
134,WaterLimited,1.036115651
135,EnergyLimited,0.877388319
135,WaterLimited,1.032764895
136,EnergyLimited,0.442282355
136,WaterLimited,0.952810803
137,EnergyLimited,0.41287428
137,WaterLimited,0.911954302
138,EnergyLimited,0.958564013
138,WaterLimited,1.125821032
139,EnergyLimited,0.904019663
139,WaterLimited,0.945465574
140,EnergyLimited,0.835484067
140,WaterLimited,0.974924301
141,EnergyLimited,0.71357905
141,WaterLimited,1.157516677
142,EnergyLimited,0.796205139
142,WaterLimited,1.094820902
143,EnergyLimited,0.791092096
143,WaterLimited,0.684954311
144,EnergyLimited,0.863203787
144,WaterLimited,0.935347496
145,EnergyLimited,0.685025786
145,WaterLimited,0.616495193
146,EnergyLimited,0.716067347
146,WaterLimited,0.82301051
147,EnergyLimited,0.712734471
147,WaterLimited,0.427679659
148,EnergyLimited,0.878134991
148,WaterLimited,1.200752597
149,EnergyLimited,0.776090167
149,WaterLimited,1.177407959
150,EnergyLimited,0.577887471
150,WaterLimited,0.529928366
151,EnergyLimited,0.493828935
151,WaterLimited,0.3953986
152,EnergyLimited,0.569590504
152,WaterLimited,0.635897955
153,EnergyLimited,0.803396062
153,WaterLimited,0.83929324
154,EnergyLimited,0.959909208
154,WaterLimited,1.050765939
155,EnergyLimited,0.837356102
155,WaterLimited,0.898006939
156,EnergyLimited,0.821380893
156,WaterLimited,1.29262947
157,EnergyLimited,1.159688868
157,WaterLimited,1.373580398
158,EnergyLimited,1.037087482
158,WaterLimited,0.980518665
159,EnergyLimited,1.022684475
159,WaterLimited,1.062522325
160,EnergyLimited,1.066111464
160,WaterLimited,0.929179772
161,EnergyLimited,1.107107815
161,WaterLimited,1.036254577
162,EnergyLimited,1.204720358
162,WaterLimited,0.716359009
163,EnergyLimited,1.103731879
163,WaterLimited,1.231953198
164,EnergyLimited,1.126144233
164,WaterLimited,0.909459086
165,EnergyLimited,0.582403575
165,WaterLimited,0.790724603
166,EnergyLimited,0.80024851
166,WaterLimited,0.990139591
167,EnergyLimited,1.211429876
167,WaterLimited,1.01983046
168,EnergyLimited,0.892770388
168,WaterLimited,0.697008909
169,EnergyLimited,0.905371156
169,WaterLimited,0.837248168
170,EnergyLimited,0.890477236
170,WaterLimited,0.866056847
171,EnergyLimited,1.049873734
171,WaterLimited,0.959317911
172,EnergyLimited,1.088748076
172,WaterLimited,0.594353206
173,EnergyLimited,1.201018522
173,WaterLimited,0.947504352
174,EnergyLimited,0.891792784
174,WaterLimited,0.665381104
175,EnergyLimited,0.947800428
175,WaterLimited,0.849636729
176,EnergyLimited,0.547737596
176,WaterLimited,0.644729076
177,EnergyLimited,0.958970001
177,WaterLimited,0.957788834
178,EnergyLimited,0.850178583
178,WaterLimited,0.568286207
179,EnergyLimited,0.915225352
179,WaterLimited,0.821178338
180,EnergyLimited,1.063438794
180,WaterLimited,1.061532405
181,EnergyLimited,1.004950577
181,WaterLimited,0.951654918
182,EnergyLimited,0.891355593
182,WaterLimited,1.258122985
183,EnergyLimited,1.04134707
183,WaterLimited,1.096460338
184,EnergyLimited,1.10867382
184,WaterLimited,1.213842153
185,EnergyLimited,1.045699595
185,WaterLimited,1.262051952
186,EnergyLimited,1.077103064
186,WaterLimited,1.252544656
187,EnergyLimited,1.036500638
187,WaterLimited,1.321568272
188,EnergyLimited,1.450595262
188,WaterLimited,1.119642484
189,EnergyLimited,1.166976743
189,WaterLimited,0.966065882
190,EnergyLimited,1.074025533
190,WaterLimited,0.960537223
191,EnergyLimited,1.432392934
191,WaterLimited,1.412715203
192,EnergyLimited,1.047572072
192,WaterLimited,1.210765674
193,EnergyLimited,1.245614105
193,WaterLimited,1.509969645
194,EnergyLimited,0.83377307
194,WaterLimited,1.178536388
195,EnergyLimited,0.762626255
195,WaterLimited,1.061182853
196,EnergyLimited,0.963648884
196,WaterLimited,0.929950946
197,EnergyLimited,1.235710544
197,WaterLimited,0.524714194
198,EnergyLimited,1.062071174
198,WaterLimited,1.025038224
199,EnergyLimited,1.306400841
199,WaterLimited,1.324455575
200,EnergyLimited,1.035052421
200,WaterLimited,0.908083285
201,EnergyLimited,1.016958906
201,WaterLimited,0.974348718
202,EnergyLimited,1.139493507
202,WaterLimited,0.928100384
203,EnergyLimited,1.114953641
203,WaterLimited,1.161157157
204,EnergyLimited,1.288488572
204,WaterLimited,1.358925255
205,EnergyLimited,1.28351713
205,WaterLimited,1.131290298
206,EnergyLimited,1.328995802
206,WaterLimited,1.418797395
207,EnergyLimited,1.07740426
207,WaterLimited,0.848945205
208,EnergyLimited,0.765406283
208,WaterLimited,0.723459273
209,EnergyLimited,1.242646096
209,WaterLimited,0.974640076
210,EnergyLimited,1.45160439
210,WaterLimited,0.92698693
211,EnergyLimited,1.070899205
211,WaterLimited,0.974031617
212,EnergyLimited,1.339404395
212,WaterLimited,1.157094533
213,EnergyLimited,1.446645792
213,WaterLimited,1.04804116
214,EnergyLimited,1.044110659
214,WaterLimited,0.766736889
215,EnergyLimited,0.984881501
215,WaterLimited,0.866043294
216,EnergyLimited,1.130140436
216,WaterLimited,1.211121509
217,EnergyLimited,1.205312068
217,WaterLimited,1.033973856
218,EnergyLimited,1.272575378
218,WaterLimited,1.08468186
219,EnergyLimited,1.121597468
219,WaterLimited,1.003867295
220,EnergyLimited,1.062884537
220,WaterLimited,0.981990118
221,EnergyLimited,0.842086569
221,WaterLimited,1.015426514
222,EnergyLimited,1.126975411
222,WaterLimited,1.03518022
223,EnergyLimited,0.998917517
223,WaterLimited,0.789803218
224,EnergyLimited,0.864736185
224,WaterLimited,1.040098807
225,EnergyLimited,1.027177496
225,WaterLimited,0.96305944
226,EnergyLimited,0.910381931
226,WaterLimited,0.737916897
227,EnergyLimited,0.948212384
227,WaterLimited,1.05895726
228,EnergyLimited,1.015894305
228,WaterLimited,1.195214245
229,EnergyLimited,1.085179182
229,WaterLimited,1.004230173
230,EnergyLimited,0.996740667
230,WaterLimited,0.926606507
231,EnergyLimited,1.051822779
231,WaterLimited,0.928457201
232,EnergyLimited,1.123729757
232,WaterLimited,1.203095108
233,EnergyLimited,0.949831431
233,WaterLimited,0.773800483
234,EnergyLimited,0.968971112
234,WaterLimited,0.799728477
235,EnergyLimited,0.270737127
235,WaterLimited,0.376384477
236,EnergyLimited,0.581041356
236,WaterLimited,0.081790768
237,EnergyLimited,1.031948242
237,WaterLimited,1.144521553
238,EnergyLimited,0.979097318
238,WaterLimited,0.970748341
239,EnergyLimited,0.986751171
239,WaterLimited,0.866764394
240,EnergyLimited,1.136969718
240,WaterLimited,1.16028777
241,EnergyLimited,1.186122781
241,WaterLimited,1.12150536
242,EnergyLimited,1.178231518
242,WaterLimited,0.893259635
243,EnergyLimited,1.006896363
243,WaterLimited,0.82233616
244,EnergyLimited,1.10871056
244,WaterLimited,0.830957086
245,EnergyLimited,1.325258245
245,WaterLimited,0.915083523
246,EnergyLimited,1.050421354
246,WaterLimited,0.876692191
247,EnergyLimited,1.283266478
247,WaterLimited,1.001228152
248,EnergyLimited,0.990237688
248,WaterLimited,0.828219173
249,EnergyLimited,1.01285684
249,WaterLimited,1.008524004
250,EnergyLimited,1.349154578
250,WaterLimited,0.896543536
251,EnergyLimited,1.437537413
251,WaterLimited,0.867611682
252,EnergyLimited,1.359215387
252,WaterLimited,1.025334336
253,EnergyLimited,1.331154823
253,WaterLimited,1.14718694
254,EnergyLimited,1.260961187
254,WaterLimited,1.119816805
255,EnergyLimited,0.694948641
255,WaterLimited,0.35629784
256,EnergyLimited,0.904818422
256,WaterLimited,1.063576219
257,EnergyLimited,1.115731395
257,WaterLimited,0.978685644
258,EnergyLimited,1.240946649
258,WaterLimited,0.880945057
259,EnergyLimited,0.941018035
259,WaterLimited,0.931908976
260,EnergyLimited,0.986508303
260,WaterLimited,1.212568507
261,EnergyLimited,0.870188454
261,WaterLimited,0.728169231
262,EnergyLimited,0.887042726
262,WaterLimited,0.74691298
263,EnergyLimited,0.964152105
263,WaterLimited,0.971186057
264,EnergyLimited,1.04648454
264,WaterLimited,1.089754338
265,EnergyLimited,1.068883302
265,WaterLimited,1.034744026
266,EnergyLimited,1.161839966
266,WaterLimited,1.224771157
267,EnergyLimited,0.936644817
267,WaterLimited,1.232581685
268,EnergyLimited,1.005519154
268,WaterLimited,1.268241848
269,EnergyLimited,1.090785265
269,WaterLimited,1.166787824
270,EnergyLimited,1.027241165
270,WaterLimited,0.686475506
271,EnergyLimited,0.828789683
271,WaterLimited,1.118236752
272,EnergyLimited,0.753443076
272,WaterLimited,1.143618102
273,EnergyLimited,0.85243208
273,WaterLimited,1.204117545
274,EnergyLimited,0.558526179
274,WaterLimited,0.636599787
275,EnergyLimited,0.787961256
275,WaterLimited,1.134924469
276,EnergyLimited,0.809107415
276,WaterLimited,1.337274716
277,EnergyLimited,0.929121474
277,WaterLimited,1.213238007
278,EnergyLimited,0.625051578
278,WaterLimited,0.797766763
279,EnergyLimited,0.932006507
279,WaterLimited,0.833829617
280,EnergyLimited,1.053040801
280,WaterLimited,1.250178733
281,EnergyLimited,1.194835309
281,WaterLimited,1.452173459
282,EnergyLimited,1.082439893
282,WaterLimited,1.13242929
283,EnergyLimited,1.024935974
283,WaterLimited,1.223241127
284,EnergyLimited,1.062428955
284,WaterLimited,1.205129793
285,EnergyLimited,0.968109561
285,WaterLimited,1.134634085
286,EnergyLimited,1.303953381
286,WaterLimited,1.42264544
287,EnergyLimited,1.012814554
287,WaterLimited,1.244852003
288,EnergyLimited,1.293259009
288,WaterLimited,1.454467523
289,EnergyLimited,1.076867127
289,WaterLimited,1.20821738
290,EnergyLimited,1.002430028
290,WaterLimited,1.299378237
291,EnergyLimited,0.879167969
291,WaterLimited,1.045515845
292,EnergyLimited,1.09888617
292,WaterLimited,0.829387113
293,EnergyLimited,0.671279051
293,WaterLimited,0.838588193
294,EnergyLimited,0.551992448
294,WaterLimited,0.091691731
295,EnergyLimited,0.869913888
295,WaterLimited,1.257342147
296,EnergyLimited,1.003701376
296,WaterLimited,1.157576339
297,EnergyLimited,0.970607273
297,WaterLimited,1.095579037
298,EnergyLimited,0.915353579
298,WaterLimited,1.160524702
299,EnergyLimited,1.033715931
299,WaterLimited,1.38647225
300,EnergyLimited,1.096778162
300,WaterLimited,1.27425599
301,EnergyLimited,0.880345608
301,WaterLimited,1.203724766
302,EnergyLimited,1.119100165
302,WaterLimited,1.178625268
303,EnergyLimited,1.105902018
303,WaterLimited,1.119759063
304,EnergyLimited,1.036271674
304,WaterLimited,1.219931084
305,EnergyLimited,0.941041335
305,WaterLimited,0.188131431
306,EnergyLimited,0.628753925
306,WaterLimited,0.559261271
307,EnergyLimited,0.748581178
307,WaterLimited,0.772427834
308,EnergyLimited,0.645035249
308,WaterLimited,0.617927179
309,EnergyLimited,0.785670395
309,WaterLimited,0.88241157
310,EnergyLimited,1.092749573
310,WaterLimited,1.09130798
311,EnergyLimited,0.968728315
311,WaterLimited,1.210217574
312,EnergyLimited,1.072462809
312,WaterLimited,0.941891035
313,EnergyLimited,1.160821176
313,WaterLimited,0.949853906
314,EnergyLimited,1.172584782
314,WaterLimited,1.111333125
315,EnergyLimited,1.207270223
315,WaterLimited,1.054283728
316,EnergyLimited,1.321488955
316,WaterLimited,0.975254594
317,EnergyLimited,1.315058904
317,WaterLimited,1.096539707
318,EnergyLimited,1.207263737
318,WaterLimited,1.13536067
319,EnergyLimited,1.273179337
319,WaterLimited,1.066779815
320,EnergyLimited,0.96079295
320,WaterLimited,0.85400702
321,EnergyLimited,0.487426019
321,WaterLimited,0.359753861
322,EnergyLimited,0.901812575
322,WaterLimited,1.17280365
323,EnergyLimited,0.947280461
323,WaterLimited,0.613353833
324,EnergyLimited,0.935163751
324,WaterLimited,0.7416771
325,EnergyLimited,1.029031158
325,WaterLimited,0.911339384
326,EnergyLimited,1.045829655
326,WaterLimited,1.019677117
327,EnergyLimited,1.186222802
327,WaterLimited,1.138958284
328,EnergyLimited,0.810868217
328,WaterLimited,1.208291903
329,EnergyLimited,1.136599477
329,WaterLimited,1.201890439
330,EnergyLimited,1.155703512
330,WaterLimited,1.396581309
331,EnergyLimited,0.910542635
331,WaterLimited,1.287757283
332,EnergyLimited,1.094882224
332,WaterLimited,1.085703243
333,EnergyLimited,0.843486256
333,WaterLimited,0.717016325
334,EnergyLimited,0.971261715
334,WaterLimited,0.812224956
335,EnergyLimited,1.004005611
335,WaterLimited,1.209695555
336,EnergyLimited,0.7338388
336,WaterLimited,0.933200585
337,EnergyLimited,0.721032256
337,WaterLimited,0.982128538
338,EnergyLimited,1.008454759
338,WaterLimited,1.303052666
339,EnergyLimited,0.642152832
339,WaterLimited,0.968912867
340,EnergyLimited,0.957727583
340,WaterLimited,0.961920383
341,EnergyLimited,0.865739967
341,WaterLimited,1.015228754
342,EnergyLimited,0.813483461
342,WaterLimited,1.094565981
343,EnergyLimited,1.006647662
343,WaterLimited,1.312027216
344,EnergyLimited,0.746159914
344,WaterLimited,0.708946007
345,EnergyLimited,1.097566954
345,WaterLimited,1.227499496
346,EnergyLimited,1.01646132
346,WaterLimited,1.189145457
347,EnergyLimited,1.110299973
347,WaterLimited,1.105810359
348,EnergyLimited,0.916971676
348,WaterLimited,1.095095689
349,EnergyLimited,1.140090695
349,WaterLimited,1.213568295
350,EnergyLimited,1.075289354
350,WaterLimited,1.335447994
351,EnergyLimited,1.002752837
351,WaterLimited,1.247347364
352,EnergyLimited,0.914655743
352,WaterLimited,1.149398497
353,EnergyLimited,1.075140273
353,WaterLimited,0.92288558
354,EnergyLimited,1.025243315
354,WaterLimited,1.107141785
355,EnergyLimited,1.062122616
355,WaterLimited,1.220779529
356,EnergyLimited,1.162116601
356,WaterLimited,1.015409483
357,EnergyLimited,0.862599825
357,WaterLimited,1.118491335
358,EnergyLimited,1.09389181
358,WaterLimited,1.248808755
359,EnergyLimited,1.12788449
359,WaterLimited,1.058777161
360,EnergyLimited,1.134802713
360,WaterLimited,1.195304466
361,EnergyLimited,1.092162822
361,WaterLimited,0.22403638
362,EnergyLimited,1.055303387
362,WaterLimited,1.028246805
363,EnergyLimited,0.848624321
363,WaterLimited,0.881748544
364,EnergyLimited,1.095346083
364,WaterLimited,0.992268175
365,EnergyLimited,1.350815085
365,WaterLimited,1.171836559
366,EnergyLimited,1.284019105
366,WaterLimited,1.150009496
367,EnergyLimited,1.059208264
367,WaterLimited,1.098163604
368,EnergyLimited,1.25203293
368,WaterLimited,1.301164177
369,EnergyLimited,1.014195034
369,WaterLimited,0.21025141
370,EnergyLimited,0.87852781
370,WaterLimited,0.582937677
371,EnergyLimited,0.897636044
371,WaterLimited,0.781230018
372,EnergyLimited,1.167549458
372,WaterLimited,1.069389578
373,EnergyLimited,0.872740656
373,WaterLimited,1.046103897
374,EnergyLimited,0.893289554
374,WaterLimited,1.050061316
375,EnergyLimited,1.015157514
375,WaterLimited,1.123546337
376,EnergyLimited,0.911738956
376,WaterLimited,0.614232953
377,EnergyLimited,1.01274716
377,WaterLimited,0.679618603
378,EnergyLimited,0.957585125
378,WaterLimited,0.760397159
379,EnergyLimited,1.163229128
379,WaterLimited,1.114880904
380,EnergyLimited,1.187856435
380,WaterLimited,1.079280636
381,EnergyLimited,1.121403602
381,WaterLimited,1.2121863
382,EnergyLimited,1.198115836
382,WaterLimited,1.011936511
383,EnergyLimited,1.033859196
383,WaterLimited,0.998906535
384,EnergyLimited,0.977735698
384,WaterLimited,1.062710048
385,EnergyLimited,1.098494092
385,WaterLimited,0.756372103
386,EnergyLimited,1.193352205
386,WaterLimited,0.319112046
387,EnergyLimited,0.987964116
387,WaterLimited,0.948471398
388,EnergyLimited,0.889870048
388,WaterLimited,0.992834185
389,EnergyLimited,1.149615767
389,WaterLimited,0.924492906
390,EnergyLimited,0.935224468
390,WaterLimited,0.914344551
391,EnergyLimited,0.862563901
391,WaterLimited,0.915147858
392,EnergyLimited,0.905045936
392,WaterLimited,0.906582312
393,EnergyLimited,0.950414136
393,WaterLimited,1.224493634
394,EnergyLimited,1.031138537
394,WaterLimited,1.020481399
395,EnergyLimited,0.955467346
395,WaterLimited,1.177590189
396,EnergyLimited,1.058814841
396,WaterLimited,1.107264545
397,EnergyLimited,1.152941285
397,WaterLimited,0.992061783
398,EnergyLimited,1.028338574
398,WaterLimited,1.098582771
399,EnergyLimited,1.133566556
399,WaterLimited,0.939818643
400,EnergyLimited,0.917751562
400,WaterLimited,0.828197023
401,EnergyLimited,1.204855285
401,WaterLimited,0.889551951
402,EnergyLimited,0.752749695
402,WaterLimited,0.724497943
403,EnergyLimited,1.069681075
403,WaterLimited,0.771832982
404,EnergyLimited,0.901528219
404,WaterLimited,0.710986239
405,EnergyLimited,1.099618554
405,WaterLimited,1.181654611
406,EnergyLimited,0.997130357
406,WaterLimited,0.859426535
407,EnergyLimited,1.091693967
407,WaterLimited,0.981368702
408,EnergyLimited,1.205408787
408,WaterLimited,1.109243199
409,EnergyLimited,0.976059615
409,WaterLimited,0.893407915
410,EnergyLimited,1.088026012
410,WaterLimited,1.004912286
411,EnergyLimited,1.068130902
411,WaterLimited,0.905140367
412,EnergyLimited,0.862906271
412,WaterLimited,1.004740588
413,EnergyLimited,1.024180915
413,WaterLimited,0.884566226
414,EnergyLimited,1.0632013
414,WaterLimited,0.835304427
415,EnergyLimited,1.180662757
415,WaterLimited,1.086035432
416,EnergyLimited,0.733589235
416,WaterLimited,0.473122492
417,EnergyLimited,1.114078977
417,WaterLimited,1.147167385
418,EnergyLimited,0.835036555
418,WaterLimited,0.942084322
419,EnergyLimited,0.740542564
419,WaterLimited,0.758431093
420,EnergyLimited,0.856754018
420,WaterLimited,0.844207275
421,EnergyLimited,1.012945735
421,WaterLimited,0.89037919
422,EnergyLimited,1.064859348
422,WaterLimited,1.121500134
423,EnergyLimited,0.920943369
423,WaterLimited,1.08055245
424,EnergyLimited,0.915768612
424,WaterLimited,1.030819617
425,EnergyLimited,1.173423409
425,WaterLimited,0.907207777
426,EnergyLimited,1.038620029
426,WaterLimited,0.886601355
427,EnergyLimited,1.228966117
427,WaterLimited,0.999612373
428,EnergyLimited,1.073779199
428,WaterLimited,1.131806578
429,EnergyLimited,1.139233292
429,WaterLimited,0.957768304
430,EnergyLimited,1.189036801
430,WaterLimited,1.1653916
431,EnergyLimited,0.840382149
431,WaterLimited,0.722706385
432,EnergyLimited,1.012500698
432,WaterLimited,1.175038326
433,EnergyLimited,1.17449201
433,WaterLimited,1.200101417
434,EnergyLimited,1.107093815
434,WaterLimited,1.008809319
435,EnergyLimited,1.251489007
435,WaterLimited,1.193437796
436,EnergyLimited,0.936586577
436,WaterLimited,1.002588215
437,EnergyLimited,0.53502624
437,WaterLimited,0.583708281
438,EnergyLimited,1.048286474
438,WaterLimited,0.933724301
439,EnergyLimited,0.704720248
439,WaterLimited,0.876975239
440,EnergyLimited,0.814196437
440,WaterLimited,0.967765677
441,EnergyLimited,0.780020148
441,WaterLimited,0.824070652
442,EnergyLimited,0.785065945
442,WaterLimited,0.059317415
443,EnergyLimited,0.80412277
443,WaterLimited,0.849914255
444,EnergyLimited,0.867629947
444,WaterLimited,1.079305296
445,EnergyLimited,0.721134692
445,WaterLimited,1.192178256
446,EnergyLimited,0.702557149
446,WaterLimited,0.552407677
447,EnergyLimited,0.801062786
447,WaterLimited,0.789476607
448,EnergyLimited,0.823145054
448,WaterLimited,1.022293721
449,EnergyLimited,0.603028098
449,WaterLimited,0.251282909
450,EnergyLimited,0.76424432
450,WaterLimited,1.18329217
451,EnergyLimited,0.658840241
