Year,Site,Growth
1,EnergyLimited,1.012245554
1,WaterLimited,0.962473997
2,EnergyLimited,1.068849331
2,WaterLimited,1.077694684
3,EnergyLimited,1.083539016
3,WaterLimited,1.315963241
4,EnergyLimited,0.8153576
4,WaterLimited,1.240963973
5,EnergyLimited,0.935557094
5,WaterLimited,1.000665915
6,EnergyLimited,0.909075258
6,WaterLimited,1.133197502
7,EnergyLimited,0.980541089
7,WaterLimited,0.550278849
8,EnergyLimited,0.957021462
8,WaterLimited,0.953849499
9,EnergyLimited,0.996431603
9,WaterLimited,1.06148332
10,EnergyLimited,0.986772763
10,WaterLimited,1.073215452
11,EnergyLimited,1.133998296
11,WaterLimited,1.109682912
12,EnergyLimited,0.935583826
12,WaterLimited,1.015349096
13,EnergyLimited,1.106318102
13,WaterLimited,1.035873379
14,EnergyLimited,1.043618925
14,WaterLimited,0.440207796
15,EnergyLimited,0.778928101
15,WaterLimited,0.110619777
16,EnergyLimited,0.721243736
16,WaterLimited,0.268719102
17,EnergyLimited,0.818697432
17,WaterLimited,0.589575809
18,EnergyLimited,0.953846982
18,WaterLimited,0.943681072
19,EnergyLimited,1.003654798
19,WaterLimited,0.876878332
20,EnergyLimited,1.110778521
20,WaterLimited,0.418792569
21,EnergyLimited,0.867409992
21,WaterLimited,0.872443971
22,EnergyLimited,1.055338069
22,WaterLimited,0.876836175
23,EnergyLimited,1.222138094
23,WaterLimited,0.766313235
24,EnergyLimited,1.23021402
24,WaterLimited,1.022115138
25,EnergyLimited,1.350888107
25,WaterLimited,1.070967203
26,EnergyLimited,1.264772042
26,WaterLimited,1.240532128
27,EnergyLimited,1.312983207
27,WaterLimited,1.347216611
28,EnergyLimited,1.232682992
28,WaterLimited,1.097742313
29,EnergyLimited,0.518407866
29,WaterLimited,0.569461806
30,EnergyLimited,1.046664848
30,WaterLimited,1.24770132
31,EnergyLimited,1.161683289
31,WaterLimited,0.451166704
32,EnergyLimited,1.399487847
32,WaterLimited,1.092031638
33,EnergyLimited,1.140347546
33,WaterLimited,1.210189867
34,EnergyLimited,1.428287236
34,WaterLimited,1.299454424
35,EnergyLimited,1.492103725
35,WaterLimited,1.446099487
36,EnergyLimited,1.526940089
36,WaterLimited,1.599584726
37,EnergyLimited,1.029973915
37,WaterLimited,0.275246082
38,EnergyLimited,1.304230715
38,WaterLimited,1.307755656
39,EnergyLimited,1.283753968
39,WaterLimited,1.393665638
40,EnergyLimited,0.913468386
40,WaterLimited,1.247622724
41,EnergyLimited,1.190009644
41,WaterLimited,1.359132218
42,EnergyLimited,0.948662182
42,WaterLimited,0.551593311
43,EnergyLimited,0.826582899
43,WaterLimited,1.169749624
44,EnergyLimited,0.653498345
44,WaterLimited,0.771806731
